Plate	Well	Genotype	Treatment	Week0	Week1	Week2	Week3	Week4	Qymax.Week4	Qymax.Week0
18	A2	P8A5	Control.ET	0.037858794	0.138214302	0.250946908	0.352156663	0.457151511	0.64	0.80
98	B1	P8A5	EC.AT	0.104586	0.112962084	0.106756032	0.103556947	0.100223374	0.56	0.80
98	B2	P8A5	EC.AT	0.105445816	0.091029827	0.103712888	0.108776544	0.112366133	0.52	0.80
98	B3	P8A5	EC.AT	0.104845042	0.094205064	0.096827778	0.109822212	0.112289937	0.52	0.79
98	B4	P8A5	EC.AT	0.105384432	0.244198017	0.39077836	0.53376051	0.678178615	0.57	0.81
14	A2	P8A5	EC.AT	0.014109367	0.128844716	0.246852273	0.349798007	0.460736681	0.6	0.80
101	B1	P8A5	EC.ET	0.114214288	0.104576938	0.103669978	0.101795552	0.1	0.6	0.82
101	B2	P8A5	EC.ET	0.114685201	0.25579514	0.382310707	0.524870821	0.661239316	0.54	0.79
101	B3	P8A5	EC.ET	0.114807235	0.308740043	0.480810395	0.647789243	0.824200768	0.57	0.83
101	B4	P8A5	EC.ET	0.114715991	0.229317778	0.365888046	0.51108313	0.642971608	0.54	0.80
17	A2	P8A5	EC.ET	0.034063922	0.253985364	0.484416975	0.704532032	0.926689815	0.67	0.81
