Plate	Well	Genotype	Treatment	Week0	Week1	Week2	Week3	Week4	Qymax.Week4	Qymax.Week0	
20	B3	P18A4	EC.AT	0.046262476	0.155659443	0.256430081	0.347392263	0.445963484	0.6	0.82	
21	B3	P18A4	Control.AT	0.05120067	0.155729608	0.256733649	0.346121777	0.442902134	0.61	0.81	
22	B3	P18A4	AC.ET	0.056567355	0.275339523	0.496794551	0.71124177	0.92257848	0.58	0.80	
23	B3	P18A4	EC.ET	0.0593155	0.262780284	0.482891193	0.708511742	0.927025105	0.67	0.82	
24	B3	P18A4	Control.ET	0.062782807	0.147883709	0.248228312	0.347958816	0.443027361	0.55	0.83	
31	C4	P18A5	AC.AT	0.084814196	0.363497833	0.614093878	0.87302809	1.133233212	0.57	0.79	
32	C4	P18A5	EC.AT	0.087185043	0.317183614	0.549122931	0.784691674	1.0191396	0.53	0.79	
33	C4	P18A5	Control.AT	0.090196589	0.183685734	0.262758649	0.339746783	0.423317756	0.5	0.83	
34	C4	P18A5	AC.ET	0.092585577	0.191801178	0.254544214	0.340961398	0.417873887	0.63	0.82	
35	C4	P18A5	EC.ET	0.094466192	0.167046563	0.256527871	0.343943735	0.430888653	0.59	0.80	
36	C4	P18A5	Control.ET	0.096757555	0.288919335	0.506957762	0.711569304	0.914927658	0.57	0.82	
19	B1	P18B1	AC.AT	0.03978484	0.272000696	0.501686674	0.747223189	0.98894403	0.68	0.82	
20	B1	P18B1	EC.AT	0.0470467	0.152331927	0.24703262	0.349961626	0.446563603	0.73	0.80	
21	B1	P18B1	Control.AT	0.051226187	0.153855763	0.246100963	0.349600667	0.452761549	0.57	0.80	
22	B1	P18B1	AC.ET	0.056810998	0.148349709	0.256486809	0.349293532	0.441484461	0.59	0.81	
23	B1	P18B1	EC.ET	0.059351819	0.284964168	0.526669747	0.756163805	0.995713066	0.67	0.80	
24	B1	P18B1	Control.ET	0.062828996	0.154205416	0.250245999	0.346076155	0.439472884	0.59	0.82	
19	B2	P18B5	AC.AT	0.040222554	0.134456191	0.245558401	0.348116096	0.455402227	0.56	0.82	
20	B2	P18B5	EC.AT	0.047508241	0.144321927	0.248090641	0.348641766	0.450093206	0.61	0.79	
21	B2	P18B5	Control.AT	0.051484879	0.14819635	0.247641431	0.345730282	0.440422528	0.56	0.83	
22	B2	P18B5	AC.ET	0.056824469	0.160158519	0.256647044	0.349256531	0.439595972	0.62	0.81	
23	B2	P18B5	EC.ET	0.059384332	0.143858449	0.249547535	0.349657761	0.445512724	0.63	0.80	
24	B2	P18B5	Control.ET	0.063142587	0.153619425	0.260205654	0.343767217	0.436968321	0.58	0.80	
31	B3	P18C3	AC.AT	0.085187267	0.183300595	0.253407286	0.340069314	0.421243024	0.57	0.83	
32	B3	P18C3	EC.AT	0.087216304	0.170605917	0.254739164	0.345470987	0.427306056	0.49	0.83	
33	B3	P18C3	Control.AT	0.09067609	0.165594781	0.257180732	0.345938563	0.432114001	0.58	0.83	
34	B3	P18C3	AC.ET	0.092625089	0.171554798	0.264147875	0.339785363	0.419857432	0.6	0.82	
35	B3	P18C3	EC.ET	0.094621918	0.186974292	0.257862986	0.336080064	0.417922674	0.57	0.79	
